Date,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,NFLX,NVDA,SPY,TSLA
2019-01-02,148158800,159662000,71836300,31868000,15670900,28146200,35329300,11679500,508752000,126925200,174879000
2019-01-03,365248800,139512000,66599600,41960000,16286400,22717900,42579100,14969600,705552000,144140700,104478000
2019-01-04,234428400,183652000,83829100,46022000,16935200,29002100,44060600,19330100,585620000,142628800,110911500
2019-01-07,219111200,159864000,57016300,47446000,15430700,20089300,35656100,18620100,709160000,103139100,113268000
2019-01-08,164101200,177628000,67339400,35414000,13578800,26263800,31514400,15359200,786016000,102512600,105127500
2019-01-09,180396400,126976000,69707200,26998000,14230300,22205900,32280800,13343200,617260000,95006600,81493500
2019-01-10,143122800,130154000,65235800,26598000,14376100,16125000,30067600,13472500,523156000,96823900,90846000
2019-01-11,108092800,93724000,63476000,30864000,15439900,12908000,28314200,19500400,874764000,73858100,75586500
2019-01-14,129756800,120118000,76715400,28490000,21258500,20520300,28437100,10499600,730168000,70908200,78709500
2019-01-15,114843600,119970000,80625500,37518000,26504900,24069000,31587600,21181200,617012000,85208300,90849000
2019-01-16,122278800,127338000,163131700,38280000,18533000,18025700,29853900,15385500,470104000,77636700,70375500
2019-01-17,119284800,84178000,107428800,24896000,14247600,15787900,28393000,18871200,493436000,96118400,55150500
2019-01-18,135004000,120410000,97928200,44892000,16428700,31029600,37427600,26621000,651336000,127900300,362262000
2019-01-22,121576000,128336000,84861400,39632000,17083700,22378700,32371300,17941400,661552000,115531200,181000500
2019-01-23,92522400,104504000,79425900,25194000,12146700,20098400,25874300,13480100,591020000,86030300,187950000
2019-01-24,101766000,81798000,59492300,29114000,11296800,20955500,23164800,11131600,708972000,59204100,120183000
2019-01-25,134142000,98918000,72182100,23260000,14369400,22237200,31225600,11152900,1154572000,96883400,108744000
2019-01-28,104768400,96754000,59963800,29334000,12283100,15508500,29476700,8652100,2511528000,85613700,96349500
2019-01-29,166348800,92656000,51451900,19704000,9743300,17632100,31490500,7655200,1153932000,66136300,69325500
2019-01-30,244439200,115676000,66475800,29452000,12526300,44613200,49471900,9234500,974228000,92473700,168754500
2019-01-31,162958400,218206000,100201200,40232000,17520600,77233600,55636400,8535500,842852000,104012100,188538000
2019-02-01,130672400,230124000,64244100,33116000,13000800,30806500,35535700,9827800,625048000,85782500,109251000
2019-02-04,125982000,98582000,55195900,78408000,9871500,20036000,31315100,9051400,528592000,60744800,110281500
2019-02-05,144406400,89062000,46622600,82296000,12763000,22557000,27325400,9046600,542424000,79552800,101142000
2019-02-06,112958400,78798000,35606900,48256000,8745000,13281200,20609800,6717700,702464000,58347800,75577500
2019-02-07,126966800,92532000,62289200,38298000,13177500,17517600,29760700,7864500,637120000,95482000,97809000
2019-02-08,95280000,113150000,50031300,21766000,12892600,12561400,21461100,7561400,461604000,75788900,87663000
2019-02-11,83973600,66346000,47724400,18498000,10978500,12811200,18914100,5454900,495180000,68021400,106945500
2019-02-12,89134000,97172000,49178100,35036000,12852300,16292300,25056600,10429400,591060000,72270200,82764000
2019-02-13,89960800,71206000,48951200,28042000,10754100,14205100,18394900,10559100,605372000,65277200,77124000
2019-02-14,87342800,82410000,47756600,21106000,11518500,12755200,21784700,9295300,827264000,83234400,78012000
2019-02-15,98507200,86878000,65867000,27826000,14716900,15504400,26606900,9230000,1516748000,97088700,58573500
2019-02-19,75891200,73634000,40841300,21980000,12764900,14345400,18038500,7396600,551892000,59120800,62526000
